woothemes/woocommerce,Novato,macbookandrew,21170,TRUE,Merged,NA,NA
laravel/framework,Novato,isocroft,25047,TRUE,Merged,NA,NA
civicrm/civicrm-core,Novato,omarabuhussein,13072,TRUE,Merged,NA,NA
symfony/symfony,Novato,anddezr,27747,TRUE,Merged,NA,NA
symfony/symfony,Novato,JoeKre,25962,TRUE,Merged,NA,NA
symfony/symfony,Novato,antanas-arvasevicius,19900,TRUE,Merged,NA,NA
symfony/symfony,Novato,SjorsO,28316,TRUE,Merged,NA,NA
symfony/symfony,Novato,seferov,20540,TRUE,Merged,NA,NA
owncloud/core,Novato,Larzenegger,21359,TRUE,Merged,NA,NA
symfony/symfony,Novato,marinnicolae,26372,TRUE,Merged,NA,NA
laravel/framework,Novato,jimrubenstein,18853,TRUE,Merged,NA,NA
owncloud/core,Novato,SamuAlfageme,31333,TRUE,Merged,NA,NA
laravel/framework,Novato,mmghv,16238,TRUE,Merged,NA,NA
laravel/framework,Novato,andyvenus,17809,TRUE,Merged,NA,NA
woothemes/woocommerce,Novato,kasakara,20426,TRUE,Merged,NA,NA
laravel/framework,Novato,itonics-tbeauvais,6894,TRUE,Merged,NA,NA
woothemes/woocommerce,Novato,bordoni,22156,TRUE,Merged,NA,NA
laravel/framework,Novato,clemir,24467,TRUE,Merged,NA,NA
laravel/framework,Novato,hilnius,6027,TRUE,Merged,NA,NA
symfony/symfony,Novato,dantleech,18935,TRUE,Merged,NA,NA
owncloud/core,Casual,mitar,20804,TRUE,Merged,NA,NA
laravel/framework,Casual,JayPHP,18882,TRUE,Merged,NA,NA
laravel/framework,Casual,luoxiaojun1992,25252,TRUE,Merged,NA,NA
laravel/framework,Casual,rweas,8438,TRUE,Merged,NA,NA
woothemes/woocommerce,Casual,corsonr,20270,TRUE,Merged,NA,NA
laravel/framework,Casual,goncons,5382,TRUE,Merged,NA,NA
symfony/symfony,Casual,backbone87,20079,TRUE,Merged,NA,NA
symfony/symfony,Casual,lsv,27476,TRUE,Merged,NA,NA
laravel/framework,Casual,davidstanley01,24621,TRUE,Merged,NA,NA
laravel/framework,Casual,samgreenwood,18447,TRUE,Merged,NA,NA
cachethq/Cachet,Regular,TakeMeNL,3362,TRUE,Merged,NA,NA
laravel/framework,Regular,andrey-helldar,16918,TRUE,Merged,NA,NA
laravel/framework,Regular,lcjury,16283,TRUE,Merged,NA,NA
laravel/framework,Regular,robinvdvleuten,18654,TRUE,Merged,NA,NA
owncloud/core,Regular,redhell,28716,TRUE,Merged,NA,NA
laravel/framework,Regular,HongjiangHuang,25813,TRUE,Merged,NA,NA
laravel/framework,Regular,fetzi,25890,TRUE,Merged,NA,NA
owncloud/core,Regular,ringmaster,4360,TRUE,Merged,NA,NA
Wikia/app,Regular,armonr,4374,TRUE,Merged,NA,NA
Elgg/Elgg,Regular,NULL,8331,TRUE,Merged,NA,NA
laravel/framework,Regular,Naouak,22952,TRUE,Merged,NA,NA
symfony/symfony,Regular,weaverryan,19451,TRUE,Merged,NA,NA
symfony/symfony,Regular,TomasVotruba,24929,TRUE,Merged,NA,NA
laravel/framework,Regular,Marwelln,6510,TRUE,Merged,NA,NA
owncloud/core,Regular,felixheidecke,28506,TRUE,Merged,NA,NA
Wikia/app,Regular,Wyvek,560,TRUE,Merged,NA,NA
laravel/framework,Regular,jakebathman,24001,TRUE,Merged,NA,NA
woothemes/woocommerce,Regular,Chouby,21461,TRUE,Merged,NA,NA
owncloud/core,Regular,fredreichbier,28448,TRUE,Merged,NA,NA
symfony/symfony,Regular,garak,27986,TRUE,Merged,NA,NA
laravel/framework,Regular,erdemkeren,16707,TRUE,Merged,NA,NA
